	"X19992"	"X19943"	"X19933"	"X18789"	"X19974"	"X19984"	"X19874"	"X19659"	"X19291"	"X19951"	"X18880"	"X19552"	"X19406"
"MB_pA1"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pA2"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pA3"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"94UG103"	"<40"	"42"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"92RW020"	74	"<40"	119	42	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"APV-16"	"46"	"40"	42	"<40"	"47"	"<40"	"<40"	"<40"	41	57	"<40"	"<40"	"<40"
"APV-20"	60	"55"	"<40"	83	60	"54"	49	43	"<40"	"<40"	41	"<40"	"<40"
"APV-9"	"<40"	"<40"	"<40"	71	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"92BR020"	123	46	"<40"	"<40"	91	76	96	54	41	"<40"	"<40"	"<40"	"<40"
"MB_pB1"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pB2"	"<40"	132	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pC1"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"93IN905"	68	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"IAVI_C22"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MBC6"	"<40"	"<40"	92	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MBC3"	60	"<40"	"<40"	"<40"	"<40"	55	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"94IN11246-3"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"93MW960"	"<40"	"49"	"<40"	"<40"	"48"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pD1"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pD2"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pD3"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"92UG001"	"<40"	106	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"93UG070"	"<40"	74	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
1196	161	73	"<40"	76	150	218	124	98	47	100	44	48	58
"BaL"	309	93	"<40"	47	237	216	256	218	71	156	45	54	"<40"
"JRCSF"	"54"	"<40"	"<40"	"<40"	"47"	228	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"NL4-3"	777	522	44	141	916	958	360	608	177	598	409	187	121
"SF162"	2713	2212	264	647	3414	1530	4353	1900	1067	2385	"ND"	497	949
